sas_ansat abstid konc 
ja 3 26.00 
ja 3 12.00 
ja 3 83.00 
ja 2 36.00 
ja 3 111.00 
ja 3 18.00 
ja 2 77.00 
ja 3 122.00 
ja 2 77.00 
ja 3 18.00 
ja 2 22.00 
ja 3 107.00 
ja 1 12.00 
ja 3 123.00 
ja 3 46.00 
ja 1 45.00 
ja 3 48.00 
ja 3 50.00 
ja 2 114.00 
ja 3 31.00 
ja 2 20.00 
ja 3 57.00 
ja 1 57.00 
ja 3 209.00 
ja 3 41.00 
ja 2 158.00 
ja 3 231.00 
ja 3 76.00 
ja 3 308.00 
ja 1 67.00 
ja 3 14.00 
ja 3 97.00 
ja 1 55.00 
ja 1 163.00 
ja 2 103.00 
ja 3 45.00 
ja 3 80.00 
ja 2 9.00 
ja 3 49.00 
ja 2 9.00 
ja 3 69.00 
ja 2 13.00 
ja 2 21.00 
ja 2 26.00 
ja 2 3.08 
ja 3 56.00 
ja 2 30.00 
ja 2 18.00 
ja 3 36.00 
ja 2 11.00 
ja 1 11.00 
ja 3 64.00 
ja 3 61.00 
ja 3 220.00 
ja 2 31.00 
ja 3 1.88 
ja 2 33.00 
ja 3 13.00 
ja 2 26.00 
ja 1 38.00 
ja 2 19.00 
ja 1 0.75 
ja 2 88.00 
ja 2 402.00 
ja 2 103.00 
ja 1 61.00 
ja 3 30.00 
ja 3 46.00 
ja 3 29.00 
ja 2 98.00 
ja 3 63.00 
ja 3 47.00 
ja 3 23.00 
ja 2 33.00 
ja 2 74.00 
ja 3 48.00 
ja 2 19.00 
ja 3 103.00 
ja 1 100.00 
ja 3 153.00 
ja 2 89.00 
ja 1 109.00 
ja 3 155.00 
ja 2 90.00 
ja 1 18.00 
ja 1 36.00 
ja 3 233.00 
ja 3 98.00 
ja 2 32.00 
ja 3 78.00 
ja 3 37.00 
ja 2 47.00 
ja 1 48.00 
ja 1 34.00 
ja 3 203.00 
ja 1 173.00 
ja 1 284.00 
ja 2 23.00 
ja 3 358.00 
ja 3 208.00 
ja 2 49.00 
ja 1 24.00 
ja 3 16.00 
ja 3 39.00 
ja 2 60.00 
ja 3 2.70 
ja 2 30.00 
ja 3 31.00 
ja 3 92.00 
ja 1 3.30 
ja 1 91.00 
ja 1 25.00 
ja 3 55.00 
ja 1 100.00 
ja 3 66.00 
ja 2 12.00 
ja 2 39.00 
ja 2 50.00 
ja 3 131.00 
ja 2 15.00 
ja 3 12.0 
ja 2 158.0 
ja 3 29.0 
ja 2 77.0 
ja 3 125.0 
ja 2 2.3 
ja 2 9.4 
ja 1 68.0 
ja 2 116.0 
ja 2 65.0 
ja 3 48.0 
ja 3 20.0 
ja 3 20.0 
ja 1 53.0 
ja 2 189.0 
nej 3 192.0 
nej 3 17.0 
nej 1 80.0 
nej 3 175.0 
nej 3 98.0 
nej 3 222.0 
nej 3 98.0 
nej 2 63.0 
nej 1 17.0 
nej 3 14.0 
nej 2 52.0 
nej 3 33.0 
nej 1 170.0 
nej 3 322.0 
nej 3 5.5 
nej 1 69.0 
nej 2 69.0 
nej 2 259.0 
nej 3 62.0 
nej 3 158.0 
nej 3 73.0 
nej 2 44.0 
nej 1 95.0 
nej 1 69.0 
nej 3 24.0 
nej 3 63.0 
nej 2 67.0 
nej 1 86.0 
nej 1 15.0 
nej 2 66.0 
nej 1 30.0 
nej 3 264.0 
nej 3 264.0 
nej 2 70.0 
nej 1 9.1 
nej 2 64.0 
nej 2 138.0 
nej 2 100.0 
nej 2 29.0 
nej 3 147.0 
nej 1 11.0 
nej 3 69.0 
nej 3 30.0 
nej 2 23.0 
nej 1 57.0 
nej 3 297 
nej 2 110 
nej 3 104 
nej 3 354 
nej 2 56 
nej 2 78 
nej 3 64 
nej 3 205 
