V1  V2  V3  V4A  V4B  V4C  V4D  V4E  V4F  V4G  V4H  V4I  V4J  V4K  V4L  V4N  V4O  V4M  V4STEXT  V5A  V5B  V5C  V5D  V5E  V5F  V5G  V5H  V5I  V6  V14B  V14C  V14D  V14E  V14F  V14G  V14H  V15  V16A  V16B  V16C  V16D  V16E  V16F  V7A  V7B  V7C  V7D  V7E  V7F  V7G  V7H  V7I  V7J  V8  V9  V10  V11  V12A  V12B  V12C  V12D  V12E  V12F  V12G  V12H  V12I  V12J  V12TEXT  V12K  V13A  V13B  V13C  V13D  V13E  V13F  V13G  V13H  V13TEXT  V13I  V14A  V16G  V16H  V16I  V16J  V16K  V17  V18  V19AH  V19BH  V19CH  V19DH  V19EH  V19FH  V19GH  V19IH  V19HH  V19AW  V19BW  V19CW  V19DW  V19HW  V19IW  V19JW  V19KW  V19LW  V19EW  V19FW  V19GW  V19JH  V19KH  V19LH  V19MH  V19MW  V20  V21  V22BF  V22CG  V22CF  V22DG  V22DF  V22EG  V22FG  V22AF  VAR00001  V23  V25A  V25B  V25C  V26A  V26B  V26C  V26D  V26E  V26F  V26G  V26H  V26I  V27A  V27B  V27C  V28  V28A  V29  V30  V24BF  V24CG  V24CF  V24DG  V24DF  V24EG  V24FG  V24AF  OL  STOL  HVVINGL  HVVINFL  RVINGL  RVINFL  HEDVINGL  V32  SPIR  V33  V34  V35  V36  V37A  V37B  V37C  V37D  V38A  V38B  V39  V40  V41  V42A  V42B  V42C  V42D  V42E  V42F  V42G  V42H  V42I  V42J  V42K  V42L  V42M  V42N  V42O  V42TEXT  V43A  V43B  V43C  V43D  V43E  V43F  V43G  V43H  V43I  V43J  V43K  V43L  V43TEXT  V44A  V44B  V44C  V44D  V44E  V44F  V44G  V44H  V44I  V44J  V44K  V44L  V44M  V44N  V44O  V44P  V44Q  V44R  V44S  V45  V46  V47  V48A  V48B  V48C  V48D  V48E  V48F  V48G  V49A  V49B  V49C  V50  V51  V52  V53  V54  V55  V56  V57A  V57B  V58A  V58B  V59A  V59B  V60  V61  V62  V63A  V63B  V65  V66  V67A  V67B  V68  V69  V70  V71  V72  V73  KON  V75  V76  V77  V78A  V78ATAL  V78B  V78BTAL  V78C  V78CTAL  V78D  V78DTAL  V79A  V79B  V79C  V79D  V79E  V79F  V79G  V79H  V80A  V80B  V80C  V80D  V80E  V80F  V80G  V81A  V81B  V81C  V81D  V81E  V81F  V81G  V81H  V81I  V81J  V81K  V81L  V81M  V81N  V82A  V82B  V82C  V82D  V82E  V82F  V82G  V82H  V82I  V82J  V82K  V82L  V82M  V82N  V82O  V83  SKEMANR  PROFIL  ALDER
2  1  2  4  5  6  4  6  6  5  6  5  5  5  5  5  6  3  1  2  6  6  2  3  5  5  2  5  2  0  0  0  0  0  0  1  1  0  1  0  0  0  1  2  3  3  3  3  3  3  3  3  3  1  1  1  1  0  0  0  0  1  0  0  0  0  0  .  0  0  0  0  0  0  0  0  0  .  1  0  0  0  1  0  0  2  4  0  1  0  0  0  2  0  0  0  0  0  0  0  0  0  0  0  0  0  2  0  0  0  0  0  2  2  1  0  0  0  0  0  0  0  2  2  2  4  3  1  2  3  1  1  1  1  1  3  3  17  13  .  3  .  2  2  0  0  0  0  1  0  0  10  12  0  0  0  0  1  0  5  0  1  2  20  17  20  0  0  0  10  .  1  2  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  3  55  2  2  2  2  2  2  .  2  .  .  4  2  10  1  1  2  1  10  9  3  2  1  2  5  1  4  3  .  2  5  7  10  2  3  5  1  1  1958  1  75  170  2  1  .  2  1984  1  .  2  1993  3  2  2  2  1  1  1  3  2  2  2  2  1  1  1  5  1  1  3  4  5  5  5  1  1  2  1  1  1  5  4  4  5  4  4  4  5  3  4  4  4  4  5  .  5  3  2  37
3  2  2  6  6  3  5  6  6  6  6  5  6  6  6  6  6  6  1  2  6  6  3  2  5  .  .  .  1  .  .  .  .  .  .  .  1  1  0  0  0  1  0  1  2  1  3  3  3  3  3  3  3  4  2  1  2  0  0  0  0  1  0  0  0  0  0  .  0  1  0  1  0  0  0  0  0  .  0  .  0  0  0  0  0  3  4  2.5  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  2  1  0  0  0  0  0  0  0  0  0  1  4  .  .  3  4  1  1  1  1  1  3  4  21  21  .  2  .  2  2  0  0  0  0  0  0  0  2  5  0  0  0  0  0  0  3  0  5  1  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  2  40  1  2  1  2  2  1  2  2  .  .  2  3  2  1  1  0  2  .  .  4  1  2  2  5  1  1  .  13  6  5  2  .  .  .  .  .  .  1972  1  58  175  1  1  .  1  .  1  .  1  .  3  3  2  1  3  3  2  2  3  2  1  1  3  3  1  5  1  2  2  3  5  4  5  3  2  3  3  1  1  5  4  4  5  4  2  2  4  5  3  5  5  5  5  .  5  14  2  23
1  1  2  6  5  6  5  6  6  6  6  4  6  6  4  6  6  6  2  4  6  6  2  4  6  6  2  4  2  0  0  0  0  0  0  1  1  0  1  1  0  1  0  3  3  3  3  3  3  3  3  3  3  1  1  1  1  0  0  0  0  1  0  0  0  0  0  .  0  0  0  0  0  0  0  0  0  .  1  0  0  0  1  0  0  3  4  3  3.53  1  0  0  0  0  0  0  2  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  2  1  0  0  0  0  0  0  0  0  0  1  3  3  1  3  1  2  1  2  1  1  1  1  19  18  .  2  .  2  2  0  0  0  0  0  0  0  0  2.5  0  0  0  2.5  0  0  12  1  4  0  5  20  20  0  0  0  .  1  .  .  3  1  1  1  1  1  1  1  1  1  1  1  1  3  3  1  .  1  1  2  1  1  1  1  1  1  1  1  3  husker ikke  3  1  3  3  3  1  4  1  1  1  1  1  1  4  4  2  1  1  .  22  2  68  2  2  2  2  2  2  2  1  3  .  2  4  9  1  1  0  1  3  1  2  2  2  2  4  1  4  3  .  5  7  3  3  3  3  4  2  1  1968  1  .  191  3  2  1989  1  .  1  .  1  .  3  2  2  2  1  1  1  3  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  15  2  27
2  1  2  6  5  5  6  6  6  6  6  5  5  5  6  6  6  5  1  6  6  6  1  6  6  2  1  2  1  0  0  0  0  0  0  1  2  0  0  0  1  1  0  3  3  3  3  3  2  3  3  3  3  5  1  2  1  1  0  0  0  0  0  0  0  0  1  noramet  0  1  1  0  0  0  0  1  0  .  0  0  0  0  1  0  0  3  4  10  0  0  0  0  0  0  0  0  3  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  3  .  0  0  0  3  0  0  0  2  5  1  5  5  2  4  5  2  2  1  1  5  5  5  12  12  .  4  .  2  2  0  0  0  0  1  0  0  4  8  0  0  0  0  3  0  6  1  4  0  38  22  0  0  10  5  .  1  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  4  .  .  .  .  5  61  2  77  2  2  2  2  2  2  2  3  3  3  1  1  8  1  0  0  2  .  .  1  1  1  1  4  1  2  1  .  5  7  5  .  3  3  4  1  2  1929  1  85  179  4  1  .  1  .  2  .  2  .  3  1  1  1  2  1  1  3  2  1  1  1  2  1  1  3  1  1  1  2  1  2  3  1  1  3  2  1  1  4  4  4  5  3  3  3  4  3  3  4  4  5  5  .  5  16  2  66
2  1  2  5  4  6  .  6  6  6  6  5  6  6  6  6  6  6  1  4  6  6  3  4  6  5  2  5  1  0  0  0  0  0  0  0  1  0  0  0  0  0  0  2  3  3  3  3  3  3  3  3  3  2  1  1  1  0  0  0  0  0  0  0  0  0  0  .  1  1  0  0  0  0  0  0  0  .  0  1  0  0  0  0  1  4  3  3  0  0  0  0  0  0  0  0  2  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  2  1  0  0  0  0  0  0  0  0  0  .  2  1  1  2  1  2  2  1  1  1  1  1  19  19  .  1  .  2  1  2  0  0  0  0  0  0  6  3  1  0  0  0  0  0  8  0  1  2  7  15  0  25  0  0  30  .  1  1  2  1  1  1  1  1  1  1  1  1  1  3  1  2  1  1  .  3  3  3  1  3  3  3  3  1  1  1  1  .  3  3  5  3  4  1  2  1  2  1  1  1  3  5  4  1  1  1  .  17  2  118  1  2  2  2  2  2  .  1  3  .  3  4  2  2  1  0  1  1  9  3  3  2  2  3  1  2  5  .  .  2  5  13  2  2  4  2  2  1973  1  80  180  1  1  .  2  1994  1  .  2  1995  3  2  2  3  1  1  1  2  3  2  3  3  1  1  1  4  2  1  2  2  3  3  3  3  3  1  1  1  1  3  3  3  4  3  4  2  4  3  4  4  4  5  5  .  5  17  2  22
2  1  3  6  6  6  6  6  6  6  6  5  6  6  6  6  5  6  2  1  6  6  6  2  6  6  2  5  2  0  0  0  0  0  0  1  1  0  0  1  1  0  0  3  3  3  3  3  3  3  3  3  3  1  1  1  1  0  0  0  0  0  0  0  0  0  0  .  1  0  0  1  0  0  0  0  0  .  0  0  0  1  0  1  0  1  4  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  3  0  0  0  0  0  6  0  0  3  1  0  0  0  0  0  0  0  0  0  1  5  3  2  4  4  3  .  .  .  .  .  .  19  19  .  4  .  1  1  10  0  0  0  0  0  0  0  10  10  0  0  0  1  0  15  0  2  .  .  .  .  .  .  .  .  .  .  .  2  1  1  1  1  1  1  1  1  1  1  1  1  3  .  .  .  1  .  .  .  3  .  .  .  .  .  .  .  .  .  .  5  5  .  .  .  .  .  .  .  .  .  .  5  .  .  .  .  .  3  55  2  2  2  2  2  2  .  1  2  .  1  4  1  2  0  0  2  .  .  4  1  2  1  3  1  2  .  13  5  7  2  .  .  .  .  .  .  1968  1  79  186  1  .  .  2  1992  .  .  .  .  3  1  3  3  2  2  2  3  4  4  4  1  1  1  1  4  3  3  3  3  4  4  4  4  4  2  2  2  2  5  5  3  4  4  4  4  3  4  5  5  3  4  4  .  5  18  2  27
2  1  3  6  6  3  6  6  6  6  4  6  6  6  6  6  6  3  1  4  6  4  5  5  3  6  5  6  1  0  0  0  1  0  0  0  1  0  1  1  0  1  0  1  3  3  3  3  3  2  3  3  3  1  3  1  1  0  0  0  0  1  0  0  0  0  0  .  0  0  0  0  0  1  0  0  0  .  0  0  1  0  0  0  0  3  4  0  10  0  0  0  3  0  0  0  0  4  0  0  0  0  0  0  0  0  1  0  0  0  0  0  0  2  2  0  0  0  0  0  0  0  1  1  4  4  3  1  2  2  3  3  1  1  1  1  1  20  20  .  3  .  2  1  0  0  0  0  1.5  0  0  10  7  0  0  0  0  1  0  10  0  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  60  2  2  2  2  2  2  2  1  3  3  1  1  3  1  0  0  2  .  .  3  1  2  1  4  1  3  .  13  .  7  4  7  .  .  .  .  .  1969  1  90  190  3  2  1995  .  .  .  .  .  .  3  3  3  2  1  2  1  3  5  4  3  2  1  2  1  3  2  3  3  3  4  4  5  4  4  1  2  1  3  5  5  3  3  3  3  3  2  2  2  2  2  3  3  .  5  19  2  26
2  1  2  6  6  6  6  6  6  6  5  4  6  6  6  6  6  5  2  2  6  6  4  4  5  5  2  4  2  0  0  0  0  0  0  1  1  1  0  1  0  0  1  3  3  3  3  3  3  3  3  3  3  1  1  1  1  0  0  0  0  0  0  0  0  0  0  .  1  0  0  0  0  0  0  0  0  .  1  0  0  1  1  0  0  3  4  3  6  0  0  0  0  0  0  0  1  2  0  0  0  0  0  0  0  0  0  0  0  0  0  17.5  5  3  2  0  0  0  0  0  0  0  3  3  1  4  2  1  3  2  3  3  2  2  1  1  1  9  9  .  2  .  2  2  0  0  0  0  0  0  0  1  2  0  0.5  0  0.5  0  0  15  0  1  1  4  16  10  0  0  0  30  1  1  2  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  2  53  1  2  2  2  2  2  2  3  3  3  2  1  1  1  0  0  2  .  .  3  1  3  2  4  1  1  .  12  6  4  3  .  .  .  .  .  .  1975  1  55  176  1  1  .  1  .  1  .  2  1995  1  2  3  3  2  1  1  2  1  2  3  2  1  1  1  4  1  1  3  4  4  4  1  3  3  3  1  1  1  4  4  3  4  4  4  4  3  4  4  4  3  5  3  1  4  20  2  20
3  2  3  3  5  2  5  6  5  2  6  5  6  6  6  6  6  5  1  4  6  6  3  4  5  6  2  5  1  0  0  0  0  0  0  1  1  1  0  0  0  0  0  1  2  2  1  2  1  1  2  2  2  2  2  1  1  0  0  0  0  1  0  0  0  0  0  .  0  1  0  0  1  0  0  0  0  .  0  0  0  1  0  0  0  4  3  2  0  0  0  0  0  0  0  0  5  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  2  1  0  0  0  0  0  0  0  0  0  .  2  .  .  .  .  1  .  .  .  .  .  .  .  .  1  2  .  2  2  0  0  0  0  0  0  0  0  4.5  0  0  0  0  0  0  .  0  1  4  22  13  12.5  0  0  0  .  1  1  1  2  3  1  1  1  1  1  1  1  1  3  2  1  1  3  1  .  3  1  1  1  1  1  1  1  1  1  1  1  .  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  .  30  2  64  2  2  1  2  2  1  2  3  3  .  1  1  8  1  0  0  2  .  .  1  2  1  2  4  1  1  .  12  6  1  .  3  .  .  .  .  .  1960  1  72  174  1  .  .  2  1985  .  .  .  .  1  2  2  1  1  1  1  3  3  3  3  1  1  1  1  4  4  4  4  4  2  1  1  3  3  1  1  1  1  3  3  2  2  2  2  5  2  2  4  2  2  5  5  .  4  22  2  35
1  1  2  1  1  1  4  5  5  6  4  5  6  5  6  6  6  5  1  1  5  6  6  6  4  6  6  6  1  0  0  0  0  0  0  0  1  1  1  1  0  1  0  3  3  3  3  3  3  3  3  3  3  1  1  1  1  1  1  1  0  1  0  1  1  0  0  .  0  1  0  1  0  0  0  0  0  .  0  1  0  0  0  0  0  3  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  3  2  2  0  0  2  0  1  0  0  6  3  5  3  1  .  .  .  .  .  .  .  .  .  12  12  1  1  .  2  .  0  0  0  0  0  1  0  0  .  .  .  .  .  .  .  .  .  4  0  0  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  stoppet i 1930 efter råd fra overlæge  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  2  52  2  2  2  2  2  2  2  3  3  3  1  2  81  1  0  0  2  .  .  4  .  2  .  1  3  4  1  .  1  1  .  .  .  .  .  .  .  1911  1  62  168  4  .  .  .  .  2  1995  .  .  .  .  .  .  .  .  .  3  .  2  .  .  4  3  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  4  4  4  4  4  4  4  .  .  .  .  5  5  4  .  5  23  2  84
